"notes","term","priref"
"Preserved animal hides mounted onto forms that replicate the animals' sub-dermal structures, resulting in lifelike representations.","taxidermy mounts","68150"
"","wreath (floral)","68151"
"","school (fish)","68152"
"","grimaces / pull faces","68156"
"Boarding houses, guest houses, or small hotels that are usually family-owned and operated, and have limited services beyond lodging and breakfasts. The term is typically reserved for such establishments in continental Europe.","guesthouse","68157"
"","amaranth","68158"
"","love-lies-bleeding","68160"
"Garments and accessories designed to be worn while engaged in a specific active sport.","sports clothing","68163"
"","historical costume","68164"
"Historical costume, used in historical parades, c. 1825 - now.","masquerade costume","68165"
"","pastoral costume","68166"
"","arbor","68167"
"","cursed buttercup","68170"
"","lesser spearwort","68171"
"","yellow bachelor's button","68172"
"","greater spearwort","68173"
"","meadow buttercup","68174"
"","lesser celandine","68175"
"","white buttercup","68176"
"","Ranunculus aconitifolius var. Pleniflorus","68177"
"","buttercup (guide term)","68179"
"Leather or metal cases for carrying small firearms such as pistols, revolvers, or, originally, harquebuses, designed to be worn on a belt or shoulder harness or attached to a saddle. They are shaped to conform to the outlines of the firearm and are open at the top to facilitate quick withdrawl.","holster","68180"
"","hop trefoil","68181"
"","white clover","68183"
"","clover","68185"
"","grapevines","68186"
"","liana","68187"
"","ivy family (guide term)","68188"
"","common ivy","68190"
"Spherical projectiles of stone or iron, usually solid, made to be fired from cannons. For the solid bullets of spherical or conical shape fired from small arms, use ""balls (bullets).""","cannonball","68191"
"","figwort family (guide term)","68192"
"","common snapdragon","68193"
"","snapdragon","68196"
"Glass bowls intended primarily for the keeping of live fish.","fishbowl","68197"
"Community places for the regular assembly or congregation of Jews for liturgical services, assembly, and study apart from the service of the temple; since the destruction of the temple in Jerusalem, worship at the synagogue is the sole place of public worship.","synagogue (building)","68201"
"","common laburnum","68203"
"","phlox family (guide term)","68204"
"","thickleaf phlox","68205"
"","garden phlox","68208"
"","azalea","68209"
"Multistoried shrine-like towers of stone, brick, or wood, usually associated with a Buddhist temple complex and often crowned by hemispherical or bulbous stupa. A pagoda may comprise open stories of balconies or enclosed floors, generally of diminishing size from bottom to top, often capped with corbeled cornices and pent roofs; this form is seen particularly in Japan. The pagoda derives from the stupa of ancient India, which was a dome-shaped commemorative monument, usually erected over the remains or relics of a holy man or king.","pagoda","68211"
"","vipers (guide term)","68212"
"","viper","68214"
"Painted imitation of a carved relief against a contrasting background, imitating ancient cameos.","cameo imitation","68215"
"Racks in which letters and papers are kept, typically located on a desk or mounted on a wall.","letter rack","68226"
"Posts, usually mounted on the roadside or at intersections, bearing a sign or signs for the guidance of travelers.","guidepost","68227"
"Refers to complete lighting assemblies of pole or post, bracket, and street lighting luminaire; usually set in a series along roads.","street lighting unit","68233"
"Cylindrical outdoor sidewalk structures used as supports for printed advertising for theatrical and other entertainments. The invention is attributed to Gabriel Morris ca. 1868 in the city of Paris, though earlier advertising pillars were erected in Berlin in the 1850s, created by printer Ernst Litfass.","advertising column","68234"
"","aloe (plant)","68236"
"Jars, often ceramic but sometimes of silver or other materials, usually of ovoid shape with flattened shoulders, an upright collar, and a dome or cap cover; of a type traditionally used by the Chinese for preserving ginger.","ginger jar","68238"
"Genus of edible and ornamental plants in the amaranth family.","cockscomb (Celosia)","68241"
"","cockscomb (Celosia argentea var. cristata)","68243"
"","scorpionfish (guide term)","68246"
"","tub gurnard","68248"
"","viewing","68249"
"","earwigs (guide term)","68250"
"","earwig","68254"
"","grebes (guide term)","68255"
"","northern gannet","68257"
"","lark","68258"
"","european roller","68260"
"","rhino","68263"
"","beloniformes (guide term)","68264"
"","garfish","68266"
"Carbon-rich material that most often occurs in stratified sedimentary deposits. It is one of the most important of the primary fossil fuels. It is characterized by being solid, hard, opaque, black, or blackish, found in seams or strata in the earth, and largely used as fuel; it consists of carbonized vegetable matter deposited in former epochs of the world's history.","coal","68268"
"","in a mountain landscape","68271"
"","in a forest landscape","68272"
"","in a dune landscape","68273"
"","in a heath landscape","68274"
"","in a hilly landscape","68275"
"","in a park landscape","68276"
"","in a river landscape","68277"
"","in a rocky landscape","68278"
"","in a tropical landscape","68279"
"","in a garden","68280"
"","at the beach","68281"
"","landscape as background","68283"
"","background view of mountain landscape","68284"
"","background view of forest landscape","68285"
"","background view of hilly landscape","68286"
"","background view of coast","68287"
"","background view of park landscape","68288"
"","background view of tropical landscape","68289"
"","background view of battle","68290"
"","orchid family (guide term)","68292"
"","lady's slipper orchid","68293"
"","orchid","68294"
"","architectural background","68295"
"","decor as background","68297"
"","house/castle in the background","68298"
"","coastal view as background","68299"
"","studio as background (photography)","68301"
"","sea in the background","68302"
"","mountain landscape as background","68304"
"","look at each other","68308"
"","looking up","68309"
"","looking down","68310"
"","squint","68311"
"","squinting","68312"
"","cribbing","68313"
"","gold carp","68319"
"","common prawn","68325"
"Heavily upholstered chairs having solid sides and low backs.","club chair","68326"
"Refers to low seats or stools, without back or arms, often used for a child or as a footstool. It was originally in the shape of a drum, thus the name (from the diminutive of the French ""tambour,"" for drum). In the 18th century the term was applied to any low stool with fixed upright legs, as distinct from ""pliants,"" which had folding crossed legs. 18th-century tabourets were rectangular, not drum-shaped, with upholstered seats. For similar seats supported on six or more legs, use ""banquettes (benches).""","taboret (low stool)","68328"
"","puddle","68329"
"Clothing designed for, or used for, dance.","dancewear","68331"
"Very full skirts, either short or long, traditionally made of net or tulle and worn by ballerinas.","tutu","68332"
"","hippo","68334"
"","eared seals (guide term)","68335"
"","sea lion","68336"
"","zebra","68340"
"Species of ox-like grazing animals native to Europe.","European bison","68342"
"","bison","68344"
"","apes (guide term)","68345"
"","gorilla","68346"
"","chimpanzee","68348"
"","orangutans (guide term)","68349"
"","orangutan","68351"
"","baboons (guide term)","68352"
"","baboon","68353"
"","marabou stork","68354"
"","blue tit","68356"
"","New World vultures","68358"
"","condor","68359"
"","rolled-up paper","68360"
"","blaarkop (cow)","68363"
"","blauwbont (cow)","68364"
"","brahman cow","68365"
"","pale (cattle)","68368"
"","heifer","68369"
"","Witrik cattle (cattle)","68370"
"","zebu","68371"
"Optical instruments consisting of a lens or combination of lenses that allow the viewing of objects that are too small to be seen with the naked, unaided eye. The term may also be used for various types of instruments that use a stream of electrons (electron microscope), electromagnetic radiation (x-ray microscope), or other means other than light and lenses to magnify images of small objects.","microscope","68375"
"Lengths of fur or furs, sewn together in a way to allow them to be wrapped and carried about the shoulders or arms. A fur stole is often the pelage or skin of a single animal (head included).","fur stole","68376"
"","hands in pockets","68379"
"Buildings housing the central switching point for telephone communications.","telephone exchange","68380"
"Gebouwen waar olie uit walvisvet (blubber) wordt gewonnen.","try house","68381"
"","bathing machine","68383"
"Highly simplified or conventionalized pictures that stand for the thing pictured; may be used as writing signs corresponding to individual words or phonetic elements in a language. Use also for certain prehistoric pictures and linear designs whose meanings are uncertain.","pictograph","68388"
"Characters used in certain ancient scripts, especially in Scandinavia and Britain, and in the Orkhon River area of Mongolia.","rune","68389"
"","eyes closed","68391"
"","European marram grass","68392"
"","marram grass","68393"
"Workshops of a blacksmith, who is an ironsmith who makes iron into tools or other objects.","smithy","68396"
"","background view of cityscape","68397"
"Rooms or boxes with a single small opening, with or without a lens, through which an inverted image is projected from outside the box onto the opposite interior wall.","camera obscura","68398"
"Devices of the 18th century for viewing ""perspective view prints,"" which are pseudo-stereoscopic images. These table-top viewers consist of a wooden stand supporting a hinged mirror and lens, used to view a flat image placed on the table next to the stand. A perspective effect is created through a combination of image design and lens and mirror properties. Surviving examples are elegant and highly collectible pieces of mahogany furniture, designed for the drawing rooms of affluent homes.""","zograscope","68399"
"Optical instruments for viewing distant objects by means of the refraction of light rays through a lens or the reflection of light rays by mirrors, so that the rays enter an opening and converge to form an image seen through a magnifying eye piece, or by other electronic means.","telescope","68400"
"","Paguridae (guide term)","68401"
"","common hermit crab","68403"
"","embroidery frame","68404"
"Pillows on which a certain type of lace is made.","lace pillow","68405"
"Small cushions into which pins are stuck until needed.","pincushion","68408"
"Small bell-shaped covers worn over the fingertip to protect it when pushing a needle through material in sewing.","thimble","68409"
"","trout","68411"
"Small houses or dwellings for a dog or a small number of dogs. For larger structures intended to house many dogs, use ""kennels (animal housing).""","doghouse","68412"
"","cineria","68415"
"","dogbane family (guide term)","68416"
"","common oleander","68418"
"Members of the taxon of land dwelling archosaurs with an upright gait, by which their legs were straight, perpendicular to the ground, and supported the weight of the body so that the animal could walk or run more easily. Other reptiles and modern lizards had a sprawling gait. Dinosaurs first appeared in the Late Triassic Period about 215 million years ago and thrived worldwide for some 150 million years. Most died out by the end of the Cretaceous Period, about 65 million years ago, but many lines of evidence now show that one lineage evolved into birds about 150 million years ago.","dinosaur","68419"
"Refers to nonphotographic depictions having a viewpoint well above normal eye level. They are typically prints, drawings or paintings that incorporate a point of view as if the viewer were looking at the ground from the level of the clouds. The advantage of the high angle is that more detail can be displayed, as the foreground does not obscure the background. This view has been used since the time of ancient Rome, when it was used to portray battlefields; it is also commonly used to portray urban developments, for landscape garden plans, and for palaces and towns. Bird's-eye views depict a vantage point higher than one taken from just above roof-level, but lower than a map-view. For architectural drawings in precise perspective, use ""bird's-eye perspectives."" For photographs, use ""aerial views"" or ""aerial photographs."" For pictorial maps, use ""map views.""","bird's-eye view","68426"
"Refers to views having a viewpoint well below normal eye level, typically depicted as if seen from the surface of the earth or the floor, as if the viewer is lying down and looking straight up. The horizon for a worm's-eye view is usually placed very low or outside the picture. For architectural drawings in precise perspective, use ""worm's-eye perspectives.""","worm's-eye view","68427"
"Refers to dipictions with a vantage point above the subject, such as from the ceiling of an interior, but not so high as in a bird's-eye view or an aerial view.","overhead view","68428"
"The activity of exiting a water conveyance, particularly to go on shore from a boat or ship.","disembarking","68430"
"","strepsirrhini (guide term)","68433"
"","Indriidae (guide term)","68434"
"","ring-tailed lemur","68435"
"","ruffed lemur","68436"
"","lemurs","68439"
"","larva","68441"
"","lichens (guide term)","68442"
"","mosses (guide term)","68443"
"","fungi, molds and lichens (guide term)","68444"
"","mushrooms (guide term)","68446"
"","mushroom","68447"
"","Amanita (guide term)","68448"
"","fly agaric","68450"
"","common orange lichen","68453"
"","cartilage lichen","68454"
"","Iceland moss","68455"
"","lichen","68456"
"","cup lichen (guide term)","68457"
"","flowering plants (guide term)","68462"
"","gymnosperms (guide term)","68463"
"","coral fungus","68466"
"","Basidiomycetes (guide term)","68467"
"","Ascomycetes (guide term)","68468"
"","conifers (guide term)","68471"
"","dicotyledons (guide term)","68474"
"","hazel","68477"
"","birch family (guide term)","68479"
"","filbert","68481"
"","on a marble balustrade","68483"
"","Annonaceae (guide term)","68485"
"","monocots (guide term)","68486"
"","Mexican marigold","68490"
"","French marigold","68491"
"","tagetes","68493"
"","yellow cabbage rose","68494"
"","cabbage rose","68496"
"Genus having ten species of deciduous, smooth-barked trees native to temperate regions of the northern hemisphere. Trees have pale reddish-brown, close-grained wood valued for flooring, cabinetry, furniture, panel painting, and other uses. Beech nuts provide forage for game animals and yield an edible oil.","beech","68500"
"","white mulberry (tree)","68506"
"","black mulberry (tree)","68507"
"","knotweed family (guide term)","68510"
"","knotgrass","68512"
"","lady's thumb","68513"
"","docks and sorrels (guide term)","68514"
"","bistort","68516"
"","buckwheat","68517"
"","common knotgrass","68518"
"","globe-amaranth","68522"
"","chard","68523"
"","common corn-cockle (guide term)","68525"
"","common mouse-ear chickweed","68526"
"","corn spurrey","68527"
"","cow herb","68529"
"","childing-pink","68530"
"","silene","68531"
"","sandwort","68532"
"","pearlworts","68533"
"","soapwort","68534"
"","Maltese-cross (plant)","68536"
"","carnation (yellow)","68539"
"","carnation (orange)","68540"
"","carnation (pink/red)","68541"
"","carnation (two-colour)","68542"
"","carnation (white)","68543"
"","adonis (plant)","68548"
"","clematis","68549"
"","marsh marigold","68550"
"","pond water-crowfoot","68551"
"","liverleaf","68552"
"","monkshood","68553"
"","hellebore","68554"
"","nigella (guide term)","68555"
"","meadow-rue (Thalictrum)","68556"
"","globeflower","68557"
"","pasque flower","68558"
"","winter aconite","68559"
"","love-in-a-mist","68560"
"","common fennel flower","68562"
"","love-in-a-mist (plena)","68563"
"","poppy anemone(pseudo-full)","68570"
"","liverleaf (almost full)","68573"
"","liverleaf (full)","68574"
"","common mallow","68577"
"","common mallow","68578"
"","mallow","68580"
"","alpine virgin's-bower","68581"
"","large pheasant's eye","68582"
"","pheasant's eye","68583"
"","pheasant's eye","68584"
"","summer adonis","68585"
"","tall buttercup","68588"
"","Swiss cheese plant","68596"
"","Philodendron (guide term)","68597"
"","house plant","68598"
"Material comprising leaves, which are the expanded, usually green organs borne by the stem of a plant.","leaf (plant material)","68600"
"","tree root","68601"
"","gall (animal architecture)","68602"
"","autumn leaf","68603"
"Refers to any variety of paper that has been processed to make it transparent; for use especially in tracing and in overlay. Types include natural tracing, imitation parchment, and glassine papers.","transparent paper","68604"
"","thrift catchfly","68607"
"","Spanish iris","68608"
"","sweet iris","68609"
"","Hungarian iris","68610"
"","tall bearded iris","68611"
"","German iris","68612"
"","dwarf iris","68613"
"","English iris","68614"
"","Florentina iris","68615"
"","yellow iris","68616"
"","German iris","68617"
"","grass-leaved flag","68618"
"","Iris iberica","68619"
"","Persian iris","68620"
"","Portugese iris","68621"
"","Pyrenean lily","68622"
"","mourning iris","68623"
"","Siberian iris","68624"
"","Southern dwarf iris","68625"
"","stinking iris","68626"
"","iris albicans","68627"
"","hornpoppy","68628"
"","corncockle","68630"
"","fumitory (guide term)","68632"
"","celandine","68633"
"","fumewort","68634"
"","opium poppy","68635"
"","meconopsis","68636"
"","Mexican poppy","68637"
"","double opium poppy","68639"
"","opium poppy (pseudo-filled)","68641"
"","opium poppy (red)","68642"
"","mother's heart","68653"
"","hesperis","68654"
"","cheir's wallflower","68655"
"","candythuft","68656"
"","rock-cresses","68657"
"","wallflower","68658"
"","hoary stock","68659"
"","whitlow-grass","68660"
"","watercress","68661"
"","wallflower (large-blossomed)","68663"
"","gillyflower (large flowered)","68665"
"","gillyflower (blue)","68667"
"","gillyflower (pale)","68668"
"","gillyflower (full)","68669"
"","gillyflower (pink)","68670"
"","gillyflower (white)","68671"
"","dame's-violet","68676"
"","mignonette family (guide term)","68680"
"","garden mignonette","68682"
"","dyer's rocket","68683"
"","london pride saxifrage","68686"
"","agrimony","68689"
"","cinquefoil","68690"
"","Rowans","68691"
"","hawthorn","68692"
"","burnet","68693"
"","filipendula","68694"
"","Acaena","68695"
"","firethorn","68696"
"","sweet-briar","68697"
"","water-lily","68699"
"","head supported by hands","68700"
"","head tilted","68701"
"","facing front","68702"
"","looking away","68703"
"","lizards (guide term)","68704"
"","gecko","68706"
"","Persian yellow rose","68707"
"","Austrian copper rose","68709"
"","spray rose","68711"
"","white rose","68714"
"","white rose (almost full)","68716"
"","white rose (full)","68717"
"","white rose (half full)","68718"
"","white rose (double)","68719"
"","French rose","68724"
"","French rose (Rosa gallica (simplex) cv. Officinalis)","68726"
"","Flora Batava","68727"
"","French rose (almost full)","68728"
"","French rose (full)","68729"
"","French rose (half full)","68730"
"","French rose (double)","68731"
"","Rosa Mundi","68732"
"","Tuscany rose","68733"
"","Damask rose (Rosa × damascena)","68738"
"","Damask rose (double)","68740"
"","damask rose","68741"
"","Procence rose","68744"
"","Spanish broom","68747"
"","wisteria","68748"
"","bladdersenna","68749"
"","cassia","68750"
"","sainfoin","68751"
"","bird's foot trefoil","68752"
"","bird's-foot-trefoil","68753"
"","broom","68754"
"","melilot","68755"
"","spiny restharrow","68756"
"","bead tree","68757"
"","crownvetch","68758"
"","lathyrus","68759"
"","lupine","68760"
"","mimosoideae (guide term)","68761"
"","kaffirboom","68763"
"","dwarf pinciana","68764"
"","black locust","68766"
"","medick","68767"
"","narrow-leaf bird's-foot trefoil","68768"
"","vicia","68769"
"","icecream beans","68770"
"","blue lupine","68774"
"","yellow lupin","68775"
"","large-leaved Lupine","68776"
"","large-leaved Lupine (two-colour)","68777"
"","white lupin","68778"
"","tuberous pea","68784"
"","narrow-leaved everlasting-pea","68785"
"","Vetchling peavine","68786"
"","sweet pea","68787"
"","meadow vetchling","68788"
"","crane's-bill","68792"
"","pelargonium","68793"
"","redstem filaree","68794"
"","Geraniaceae (guide term)","68796"
"","meadow cranesbill","68798"
"","dusky crane's-bill","68801"
"","pencilled crane's-bill","68802"
"","geranium tuberosum","68803"
"","Geranium alceoides","68804"
"","herb robert","68805"
"","meadow cranesbill (bicolor)","68807"
"","meadow cranesbill (white)","68808"
"","flax family (guide term)","68811"
"","flax","68813"
"","yellow flax","68815"
"","garden nasturtium (full)","68818"
"Family family of woody shrubs and trees (and a few herbaceous perennials) and consisting of around 160 genera and 1,700 species distributed throughout the world, especially in warm temperate and tropical regions; the largest numbers are found in Africa and Australia, often in semiarid woodlands. Many members are valuable as sources of edible fruit and as ornamentals.","rue family (guide term)","68820"
"Ovate acidic, juicy tree-fruits with a pale yellow rind. The citron is yellow in color, but larger, less acidic, and has a thicker rind than the lemon. Formerly the term included the lemons and the limes, as well as the fruits to which it is now restricted.","citron (fruit)","68822"
"","holly family (guide term)","68825"
"","abutilon","68828"
"","marshmallow","68829"
"","cacao","68830"
"","hibiscus (guide term)","68831"
"","cotton genus (guide term)","68832"
"","gay mellow","68833"
"","bristlemallow","68834"
"","muskmallow","68835"
"","gourd family (guide term)","68845"
"","Bryonia (guide term)","68847"
"","citrullus","68848"
"","almond (blossom)","68858"
"","blackthorn","68860"
"","perfumed cherry","68861"
"","Black cherry","68863"
"Science and practice of breeding, raising, feeding, and tending domestic animals, especially but not exclusively farm animals, including silkworms.","animal husbandry (discipline)","68877"
"","rue (plant)","68878"
"","dittany","68879"
"","dogwood family (guide term)","68886"
"","dogwood","68888"
"","European cornel","68890"
"","red-osier dogwood","68891"
"","goutweed","68894"
"","spreading hedge parsley","68896"
"","mugworts","68897"
"","anethum","68898"
"","greater masterwort","68899"
"","hogweed","68900"
"","hedge parsley","68902"
"","hare's ear","68903"
"","Japanese hedge parsley","68904"
"","fool's parsley","68905"
"","chervils","68906"
"","eryngo (guide term)","68907"
"","peucedanum","68908"
"","samphire","68909"
"","cow parsley","68912"
"","dill","68914"
"","petunia","68917"
"","silhouette (depicted)","68918"
"The action of using a pole to propel a waterborne vessel by pushing against the bottom of a waterway.","poling","68919"
"","goosefoot family (guide term)","68920"
"","garden orache","68921"
"","orache","68923"
"","Cortusa (guide term)","68926"
"","pimpernels","68927"
"","primerose","68928"
"","shooting star","68929"
"","Lysimachia","68930"
"","ivy-leaved cyclamen","68931"
"","cowslip","68933"
"","oxlip","68934"
"","primrose","68935"
"","ash (deciduous tree)","68942"
"","winter jasmine","68946"
"Zodiac symbol of a water bearer, roughly based on the constellation of the same name. The zodiac signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Aquarius symbol","68948"
"Zodiac symbol of a crab, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Cancer symbol","68949"
"Zodiac symbol of a goat, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Capricorn symbol","68950"
"Zodiac symbol of a pair of twins, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Gemini symbol","68951"
"Zodiac symbol of a lion, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Leo symbols","68952"
"Zodiac symbol of a pair of scales, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Libra symbol","68953"
"Zodiac symbol of a fish, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Pisces symbol","68954"
"Zodiac symbol of an archer, often a centaur,, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Sagittarius symbol","68955"
"Zodiac symbol of a scorpion, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Scorpio symbol","68956"
"Zodiac symbol of a bull, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Taurus symbol","68957"
"Zodiac symbol of a young woman, roughly based on the constellation of the same name. The zodiak signs have survived from classical Greek and Roman decoration, were popular in Northern European Romanesque and Gothic churches, and often found in Medieval psalters and books of hours symbolizing each month in which the sun enters the related constellation. They have also been used as decoration on ceilings, maps, timepieces, and astronomical instruments.","Virgo symbol","68958"
"","waterscorpions (guide term)","68971"
"","water stick insect","68972"
"","typical bugs (guide term)","68973"
"","typical bug","68974"
"","scarabs (guide term)","68975"
"","Hercules Beetle","68976"
"","ground beetles (guide term)","68977"
"","ground beetle","68978"
"","rhinoceros beetles (guide term)","68980"
"","rhinoceros beetle","68982"
"","hawk moths (guide term)","68983"
"","peacock hawk moth","68984"
"","oak hawk moth","68985"
"","forester moths","68986"
"","Six-spot Burnet","68988"
"","longhorn beetles (guide term)","68989"
"","longhorn beetle","68990"
"","dark hair","68992"
"","light hair","68993"
"","red hair","68994"
"","body sideways to the right (profile)","68995"
"","body facing right","68996"
"","body frontal","68997"
"","garden snails (guide term)","69001"
"","grove snail","69003"
"","white-lipped snail","69005"
"","yellowhead","69007"
"","aster","69008"
"","blue cupidone","69009"
"","chicory (guide term)","69011"
"","dahlia","69012"
"","yarrow","69013"
"","White Genepi","69014"
"","tasselflower","69015"
"","euryops","69016"
"","goldenthistle","69017"
"","goldenrod","69018"
"","hawkweed","69019"
"","holy flax","69020"
"","everlasting flower","69021"
"","sun glory","69022"
"","hippia","69023"
"","camomile","69024"
"","burrdock","69025"
"","globe thistle (guide term)","69026"
"","ragwort","69028"
"","tickseeds","69029"
"","sow thistle (guide term)","69030"
"","milleria","69031"
"","goatsbeard","69032"
"","cotton thistle","69033"
"","chamomile","69034"
"","rudbeckia","69035"
"","safflower (guide term)","69036"
"","bitter fleabane","69037"
"","wild chamomile (guide term)","69038"
"","milk thistle (guide term)","69039"
"","doronicum","69041"
"","tanacetum","69042"
"","zinnia","69043"
"","southern daisy","69045"
"","European Michaelmas-daisy","69047"
"","yellow aster","69048"
"","New York aster","69050"
"","Tartarian aster","69051"
"","large-flowered aster","69052"
"","sneezewort yarrow","69059"
"","jacob's-ladder","69062"
"","Jacob's ladder","69063"
"","corn lily","69066"
"","common morning glory","69067"
"","hedge bindweed","69069"
"","climbing morning glory","69070"
"","borage","69081"
"","honeywort (Cerinthe)","69082"
"","mertensia (guide term)","69083"
"","navelwort","69084"
"","viper's bugloss","69085"
"","comfrey","69086"
"","betony","69090"
"","savory","69091"
"","Jerusalem sage (guide term)","69092"
"","heal-all","69093"
"","deadnettle","69094"
"","dragonhead","69095"
"","galeobdolon","69096"
"","teucrium (guide term)","69097"
"","skullcap","69098"
"","hempnettle","69099"
"","ground-ivy","69100"
"","catnip","69101"
"","lavender","69102"
"","balm","69103"
"","mint (plant)","69104"
"","sage","69105"
"","savory","69106"
"","bugleweed","69107"
"","spotted deadnettle","69109"
"","Archangel","69110"
"","clary sage","69116"
"","meadow clary","69117"
"","bluegrass","69119"
"","canary grass","69120"
"","grass (in still life)","69121"
"","sand couch","69123"
"Species of grass native to Europe but naturalized elsewhere, often becoming an invasive weed spreading by long, white rhizomes. The foliage is used as forage for grazing mammals and as food by caterpillars; the seeds are eaten by finches, buntings, and other grassland birds. It has been used in herbal medicine since the Classical Greek period. It is used for medicinal purposes: it is believed that sick dogs will dig up and eat the root; it has antiseptic properties; mediaeval herbalists used it to treat urinary tract disorders and water retention. It also has antiseptic properties. Dried rhizomes have been used as incense.","couch grass","69125"
"","bentgrass","69126"
"","small reed","69127"
"","Timothy-grass","69128"
"","meadow foxtail (guide term)","69129"
"","velvet grass","69130"
"","sand catstail","69131"
"","annual meadow grass","69134"
"","Kentucky bluegrass","69135"
"","Birthwort family (guide term)","69138"
"","european ginger","69140"
"","Dutchman's pipe","69141"
"","birthwort","69143"
"","hoverflies (guide term)","69144"
"","hoverfly","69145"
"","blow flies (guide term)","69146"
"","blowfly","69147"
"","partly done up hair","69151"
"","buckle on belt","69152"
"","katydids (guide term)","69153"
"","katydid","69154"
"","wart-biter cricket","69156"
"","cypress cotton","69167"
"","body facing left","69168"
"","bearded reedling","69172"
"","Asphodelus (guide term)","69179"
"","brimeura","69180"
"","daylily","69181"
"","ill-scent trillium","69182"
"","gasteria","69183"
"","gagea","69184"
"","St. Bernhard's lily","69185"
"","fawn lily","69186"
"","bluebell","69187"
"","Pyrenean fritillary","69188"
"","Solomon's seal","69189"
"","paradise lily","69190"
"","scilla","69191"
"","autumn crocus (guide term)","69192"
"","Star-of-Bethlehem","69193"
"","orange lily","69205"
"","planting bulbs","69207"
"","italian bluebell","69208"
"","spanish bluebell","69209"
"","hyacinthoides non-scripta","69210"
"","cuculiformes (guide term)","69212"
"","common cuckoo","69214"
"Clothing designed for or worn by children; often used in commercial contexts.","childrenswear","69215"
"Uniform originally worn by enlisted seamen in a navy or other governmental sea services, also a children's dress.","sailor suit","69217"
"Brushes for smoothing and styling the hair.","hairbrush","69218"
"Small mirrors set in frames which have projecting handles, used mainly at a dressing table.","hand mirror","69219"
"Small brushes with stiff bristles, used to clean fingernails.","nail brush","69220"
"Small brushes, with long handles, for cleaning the teeth.","toothbrush","69221"
"Cosmetics applied to the lips that are composed of a fatty base containing waxes, oils, or emollients combined with color provided by pigments, often reds, or titanium dioxide for brightness and cover. Usually the material is formed into a stick, and is housed in a protective tube.","lipstick","69222"
"Accessories for carrying cosmetics on the person. Usually made of metal or plastic and can be quite decorative. Interior most often contains a mirror in the lid of one half and face powder in the other half, but may also have compartments for rouge or lipstick or a fitting for the attachment of a lipstick case.","compact","69223"
"Slender pointed implements used after eating to remove bits of food lodged between the teeth.","toothpick","69224"
"","aardvark","69226"
"","dancing couple","69228"
"","worm","69229"
"","earthworms","69231"
"","centipedes and millipedes (guide term)","69232"
"","millipede","69233"
"","centipede","69234"
"","iguanas (guide term)","69235"
"","iguana","69237"
"","marigold (yellow)","69239"
"","marigold (full)","69240"
"","marigold (orange)","69241"
"","Guelder-rose","69246"
"","Twinflower","69247"
"","common snowberry","69248"
"","elderberry (guide term)","69249"
"","acanthus family (guide term)","69253"
"","balsam family (guide term)","69254"
